n_clusters,noise_pct,silhouette,davies_bouldin,calinski_harabasz,model,k,linkage
2,0.0,0.1989691355158942,1.801444117070905,223.76097036541577,agglomerative,2,ward
3,0.0,0.14063312978047948,1.633073745887487,202.85499306311152,agglomerative,3,ward
4,0.0,0.16135657105992046,1.5597761908603465,216.67324801897288,agglomerative,4,ward
5,0.0,0.15663771242788058,1.6340264460983493,191.8466730067642,agglomerative,5,ward
6,0.0,0.1652967914867626,1.573879514266702,177.1251725332587,agglomerative,6,ward
7,0.0,0.12711024107481259,1.7048393799640043,169.42617335271555,agglomerative,7,ward
8,0.0,0.12671008277688475,1.5673997145628777,159.88514607107967,agglomerative,8,ward
9,0.0,0.1245655907191674,1.5492242219880796,153.10064357678243,agglomerative,9,ward
10,0.0,0.12637219221660623,1.611370403489571,146.4614883353844,agglomerative,10,ward
