n_clusters,noise_pct,silhouette,davies_bouldin,calinski_harabasz,model,eps,min_samples
0,100.0,,,,dbscan,0.5,5
0,100.0,,,,dbscan,0.5,10
0,100.0,,,,dbscan,0.5,20
18,71.2484237074401,0.14294695068800534,1.231649389010203,22.02198290369779,dbscan,0.8,5
2,95.96469104665826,0.4185935752235849,0.9451779342438609,28.46675305399666,dbscan,0.8,10
0,100.0,,,,dbscan,0.8,20
9,36.69609079445145,0.11611709140410938,0.8443352219009899,17.88101281563016,dbscan,1.0,5
1,60.907944514501885,,,,dbscan,1.0,10
1,94.07313997477932,,,,dbscan,1.0,20
4,16.51954602774275,0.10731295074102278,0.8798307740957236,40.775245456986546,dbscan,1.2,5
2,35.05674653215637,0.20511934912055554,0.9153381222761922,15.831073311341786,dbscan,1.2,10
1,53.72005044136192,,,,dbscan,1.2,20
2,1.8915510718789406,0.28543964602750677,0.7377045131021062,11.939184997318968,dbscan,1.5,5
2,10.34047919293821,0.3537017628957764,0.798920609918533,90.63995437894947,dbscan,1.5,10
1,22.69861286254729,,,,dbscan,1.5,20
